ID,Site,Context,Country,Longitude,Latitude,Condition,ATU,ATU2,NAT,Reference(s),Site Type,Dating Method,Event (Rasmussen et al. 2014),Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Chronozone (Relative),Relative Date (method),LTP Association,TP present,Burinated,Tephra Association,File Type,Scale,Out,Ldk,RD,FN,Additional Information,OTT,Continuous vs. Discontinuous,Retouch position
37,Abri Rochedane,Abri Rochedane (B),France,6.76,47.34,Whole,Azilian,Unspecified,Backed Point (Unspecified),Thevenin 1982a; Thevenin 1982b; Straus 1985; Thevenin 1989,Excavation,Absolute,,,10730,190,Ly-2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Abri_Rochedane_B_6,,Y,Continuous,Left
38,Abri Rochedane,Abri Rochedane (B),France,6.76,47.34,Whole,Azilian,Unspecified,Backed Point (Unspecified),Thevenin 1982a; Thevenin 1982b; Straus 1985; Thevenin 1989,Excavation,Absolute,,,10730,190,Ly-2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Abri_Rochedane_B_8,,Y,Continuous,Right
39,Abri Rochedane,Abri Rochedane (C1),France,6.76,47.34,Whole,Azilian,Unspecified,Backed Point (Unspecified),Thevenin 1982a; Thevenin 1982b; Straus 1985; Thevenin 1989,Excavation,Absolute,,,11090,260,Ly-1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Abri_Rochedane_C1_1,,Y,Continuous,Left
40,Abri Rochedane,Abri Rochedane (C1),France,6.76,47.34,Whole,Azilian,Unspecified,Backed Point (Unspecified),Thevenin 1982a; Thevenin 1982b; Straus 1985; Thevenin 1989,Excavation,Absolute,,,11090,260,Ly-1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Abri_Rochedane_C1_10,,Y,Continuous,Right
41,Abri Rochedane,Abri Rochedane (C1),France,6.76,47.34,Whole,Azilian,Unspecified,Backed Point (Unspecified),Thevenin 1982a; Thevenin 1982b; Straus 1985; Thevenin 1989,Excavation,Absolute,,,11090,260,Ly-1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Abri_Rochedane_C1_11,,Y,Continuous,Right
42,Abri Rochedane,Abri Rochedane (C1),France,6.76,47.34,Whole,Azilian,Unspecified,Backed Point (Unspecified),Thevenin 1982a; Thevenin 1982b; Straus 1985; Thevenin 1989,Excavation,Absolute,,,11090,260,Ly-1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Abri_Rochedane_C1_12,,Y,Continuous,Left
43,Abri Rochedane,Abri Rochedane (C1),France,6.76,47.34,Whole,Azilian,Unspecified,Backed Point (Unspecified),Thevenin 1982a; Thevenin 1982b; Straus 1985; Thevenin 1989,Excavation,Absolute,,,11090,260,Ly-1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Abri_Rochedane_C1_13,,Y,Continuous,Right
44,Abri Rochedane,Abri Rochedane (C1),France,6.76,47.34,Whole,Azilian,Unspecified,Backed Point (Unspecified),Thevenin 1982a; Thevenin 1982b; Straus 1985; Thevenin 1989,Excavation,Absolute,,,11090,260,Ly-1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Abri_Rochedane_C1_14,,Y,Continuous,Both
45,Abri Rochedane,Abri Rochedane (C1),France,6.76,47.34,Whole,Azilian,Unspecified,Backed Point (Unspecified),Thevenin 1982a; Thevenin 1982b; Straus 1985; Thevenin 1989,Excavation,Absolute,,,11090,260,Ly-1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Abri_Rochedane_C1_2,,Y,Continuous,Left
46,Abri Rochedane,Abri Rochedane (C1),France,6.76,47.34,Whole,Azilian,Unspecified,Azilian/Federmesser Point,Thevenin 1982a; Thevenin 1982b; Straus 1985; Thevenin 1989,Excavation,Absolute,,,11090,260,Ly-1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Abri_Rochedane_C1_3,,Y,Continuous,Left
47,Abri Rochedane,Abri Rochedane (C1),France,6.76,47.34,Whole,Azilian,Unspecified,Azilian/Federmesser Point,Thevenin 1982a; Thevenin 1982b; Straus 1985; Thevenin 1989,Excavation,Absolute,,,11090,260,Ly-1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Abri_Rochedane_C1_4,,Y,Continuous,Left
